CommentID,VideoID,VideoTitle,AuthorName,AuthorChannelID,CommentText,Sentiment,Likes,Replies,PublishedAt,CountryCode,CategoryID
UgyqrXh3SW_NpUqyc_Z4AaABAg,eWRfhZUzrAc,Python for Beginners – Full Course [Programming Tutorial],@t.a-8469,UCELGbox9iW4QjIJF37s9E-Q,"This is really valuable information and I appreciate it so much . Now with that being said it has to be true that programmers think differently than most people because apparently most of the comment section found this to be one of the easiest tutorials to follow. I on the other hand felt like the examples could have been better and more structured to something we'd use to produce an actual program , I know that in the end we do but I mean before that there are a lot of confusing examples with random words and functions that could have been applied better. I had to disassociate my normal thought process and keep a very open mind to what I've known to be ""programmer brain""lol this is why I got into coding btw I love spoken languages and have learned many on my own and always find it interesting what gets lost in translation . Many times I've been told I should consider programming for the reason of being able to encapsulate an intent . Sorry for the rant just wanted you to know that if this tutorial made sense to you the whole way through, you are definitely meant for coding 😂 .",Neutral,1,0,2024-02-01 07:16:35,US,27
UgzJHIMWZvO9VfFKMSx4AaABAg,0Da7hDTXXlw,They Got Our Boi @Gsxystunt #bikesvscops #bikelife,@ToddDavis-p3u,UCXeIPneqTYkniC0ifYh1S9A,Big deal.,Neutral,0,0,2025-01-08 04:06:12,US,2
UgwSey7F61ABVTUJs-N4AaABAg,WTLPmUHTPqo,Planet Simulation In Python - Tutorial,@PrinceKumar-hh6yn,UChbwI9jLQLbEwJHmGC7tRGg,Respect for physics,Positive,0,0,2023-01-16 21:56:17,US,27
UgyPCDWsN3YHnh-x85h4AaABAg,PyfKCvHALj8,#14 Python Tutorial for Beginners | Python BitWise Operators,@servantofallah6734,UCl-IyEkyd5QnHayg1hACvZA,now my book is crystal clear.I can understand Bitwise Operators. Thanks a lot,Positive,0,0,2023-12-06 05:25:03,IN,27
UgxYiI99I_RJYsj6lZZ4AaABAg,8oH7-aHrgRI,BREAKING: KAMALA MAKES BEST POSSIBLE VP PICK!,@HoneyBeeCrafts,UCMqxHQS51O7dCOnAsiE7RsQ,"Yeah I just found out he’s the best pick because he coined weird for trump and reps. Amazing work meh guy.
Weird isn’t a negative term since before Obama. Lmao.
And weird has been around for a VERY long time.",Neutral,0,0,2024-08-07 20:11:42,US,25
Ugw_yJFIh0N-qbvQNJR4AaABAg,9oSXy1wVPmE,Addi is pretty but SALISH !!😍 Jordan Matter Shorts,@pasta3267,UCzBW6qydYqYLFVPzwWFo8gQ,"Salish is amazing but so is Addie, a girl does not want hate js bc she’s dating someone. There teenagers js let them be!",Neutral,1,0,2025-01-12 06:27:32,AU,17
UgxlhmV496DYC1c3xox4AaABAg,blQ60skPzl0,Planning & First Steps | Creating a REST API with Node.js,@searchbarwebs,UCfECi_3Ey1jjL4qP3kusrhg,Will this series get me going with Node.js if i havent used it before?,Positive,0,1,2017-11-29 20:40:46,DE,27
UgxdB1-v5_Dc43snh794AaABAg_aug,q4Y0GQxS4Xo,'Nefarious' or 'incompetence:' Former Jan. 6 investigator on missing Secret Service texts,AugmentedUser,AugmentedCID,"What about Hillary's emails, or Hunter's laptop?",Neutral,0,0,2025-02-05 04:55:12,US,25
UgwbHw5WMjguoAIzlhl4AaABAg,mAr-vlrRJqY,"Russian atrocities: Evidence of civilian killings, rape and torture in northern Ukraine | DW News",@hires4708,UC0w0kge8G2aoffcpisHzLNQ,"@ALinchik, that is what happens when you select a comedian as aleader .. :(,, Ukrainians are responsible for their devastation, not trusting a neighbour and becoming a puppet for USA and nato ..",Negative,1,0,2022-04-13 09:46:31,DE,25
UgzEKRL8dIi_BpakD014AaABAg,z5tZ0Zb5rJQ,14.11 HashMap and HashTable in Java,@setudutta3905,UCi3qA7RLsJrHgnU89-_Xjyg,You da best... very well explained.,Positive,1,0,2019-06-12 21:39:10,IN,27
UgyK4k2yqy28ZVPjIMF4AaABAg,MxcvVGtoYZE,"Families, firefighters in shock as California wildfires continue | 60 Minutes",@21mariae,UCD9eqgqeyB4HL_Ol7_2TGJg,"SoCal here. What we are experiencing is heartbreaking. My prayers go out to our fellow citizens in North Carolina, let’s not forget about them also please.",Neutral,164,10,2025-01-13 01:20:18,PH,25
UgwTorn_VNtr7rZH-7N4AaABAg,o5AE6D_ndcw,"Every month is the same, anyone alse ?",@EphbaumAZ,UCKNFLEHF_MUv5TbtYP8-9JA,"What a classy idea for content.  Maybe it'll trend and brighten peoples days around the world, and give them a reason to go on.  You're an inspiration.",Positive,3,0,2025-01-14 08:30:57,IE,26
Ugzss2anIpCQheZuyB14AaABAg,ExxtLCx3SFo,bro is the best driver,@hinashabbir9631,UC_JYw5bfOmQNY5X84tpSCog,Bro playes gta5 a lot😂,Positive,0,0,2025-01-14 20:43:28,NZ,2
UgxKLZ8TdaATyq2qbs94AaABAg,Jo8DuEHc-SQ,Biker stands up for himself when approached by this stranger 😱 @Undisclosed_Moto,@LetsWinNLife,UCv1gtnktP-rauSDrc0LPmAg,It hurt wen u crossed by a niga u love😢,Negative,0,0,2025-01-15 02:17:09,NZ,2
Ugzx9Od7VPIeYpgDUcV4AaABAg,CvyCNm0Qczg,ELON MUSK ATTACKS KYLE!,@RonaldMcDonald-o5z,UCUNQ5F8Delg4F6Sx9dudX5w,"356k people now know Elon is a liar.  Always has been, good move dipsh*t.",Negative,1,0,2024-12-25 19:07:30,US,25
UgwtxTDb7X89sMIsuyp4AaABAg,q3SKbzm8AhY,"Nelson’s a soft kid at heart,too.#shorts #viralvideo #movie #tv #funny",@angie464,UC5gFLhsMRcQOQMrPne90d9g,Nelson was a sweetheart in that episode helping the kid around ❤,Positive,3,0,2025-01-13 19:21:57,NZ,1
UgxLkeTwkLTI4i2gRAJ4AaABAg,R21FcmQybMI,Board Games Are Peak,@valchulkov,UCpZhKP9uKjhWz7YE5ITFogw,"Me and my friends occasionally hang out, and when we do, someone always brings out cluedo. I LOVE CLUEDO, BUT A LOTTTT OF PPL HATE IT, LIKE WHY?!",Neutral,0,0,2025-01-11 18:30:16,IE,20
Ugzcysoc1ZXD2f9g9WB4AaABAg,dP789zg8qfY,Palisades Home Destroyed by Mudslide After Recent Wildfires #BreakingNews #Mudslide #wildfire,@joanlucas7043,UCTWRY8eaZAZKMlAp0docq3g,I believe that I would have moved away from that area after the fires.,Neutral,0,0,2025-01-22 03:56:19,PH,25
UgzHiTyND1x8dyy9kUN4AaABAg,lqh0frLj54w,I know exactly what he’s saying 😂,@gg1555,UCqWgDCChVsC3kSuo0XnxssQ,"I didn't take Spanish, but southern translates-  heard CLEARLY the frustrated ""this m'FER!"" 😂",Positive,2690,9,2025-01-02 13:45:31,AU,15
UgzFNqBOfmxnMRZkKAl4AaABAg_aug,9AQVwUJOfB4,Homemade PIZZA APPROVED @albert_cancook,AugmentedUser,AugmentedCID,it's not possible,Negative,0,0,2025-02-04 02:29:41,CA,26
UgxTzkwIzoBKFjhi-Jx4AaABAg,yl_Fc29n9_o,US sheds light on West’s new Russia strategy,@carlos_790,UChmCYIf9Nil1TsUUtXWz8uQ,When is CNN stopping calling themselves a NEWS network?,Neutral,0,0,2022-04-29 20:41:07,US,25
Ugy0pFpgK-vwkHVHl7F4AaABAg,oAZqLoAp_cQ,SIDEMEN SURVIVE THE 7 WONDERS OF THE WORLD (Part 2),@lincolnfineblanket1464,UCHdddYUDhkUyPC1ewCn02mw,"Can never get enough of JME and Gibber, them boys are pure entertainment being themselves",Positive,2,0,2025-01-14 06:03:42,IE,26
Ugz1nHAm4rgJaXB8Jh94AaABAg,1IV-BgtcHSw,'You don't resign after you're fired': Russia quits human rights council after suspension,@TheSpiciestGinger,UCTniGoNThH7GMegi2D5cRkg,"Suspended means temporary, the decided to leave indefinitely... Not hard to understand",Neutral,0,0,2022-04-15 08:50:05,GB,25
UgzREEJfHUFALc5hGG54AaABAg,jLV7ALbzpHQ,I love how he looks like a gentleman for doing her justice!#movie #shortvideo #film,@icemouf7480,UCGLRU3YFUJWhZzwSlBWPDpQ,🥶🤣,Neutral,0,0,2025-01-14 21:53:56,NZ,1
Ugx_0KUsLcxNmF3zfuB4AaABAg,GZrArtvSEwo,#socialnews #news #breakingnews #fyp,@MsJesusLovesYou,UCj6-e146uH4ZygQR_y4ExEQ,"That happens a lot when I cash in tickets , watch all the clerks",Neutral,1,0,2025-01-09 17:35:43,AU,25
UgwTNXEdApftWs1LPN94AaABAg_aug,97bOXimGAX0,Dana CRASHES OUT on Adin🤯 #dana #danawhite #joerogan #adin #adinross #gambling #money #cash #casino,AugmentedUser,AugmentedCID,How can you not acknowledge one of the planet's coolest people?!?! 😮😮😮😮😮😮😮,Negative,0,0,2025-02-04 04:16:47,IE,26
UgxkYl2COsY7r-QIGwl4AaABAg,SVvr3ZjtjI8,How I Got Good at Coding Interviews,@Mm-tf6pw,UCroGeh9F4y9ETwqQPSKTEGQ,"You deserve every like and subscribe you receive, great stuff!",Positive,0,0,2022-10-09 03:52:07,US,27
UgxiKLaXEJk912j2J394AaABAg,AdWCn7Hqbvg,Chris Wallace: Trump is SCREWED,@michaelbrantley1554,UCyKGmJeoJGK8Lu9RYfIA5IQ,"As the Chief law enforcement officer in the country Trump should be getting a response from Ukraine about Hunter and Joe Biden. Stop calling Joe Biden his political opponent, he will not be the nominee and was never a threat to Trump",Neutral,2,1,2019-11-16 07:10:31,US,25
UgwbkulgUVBDuns2HLt4AaABAg,Xu6h1HGnVp0,The very UNUSUAL Chinese secret to everlasting youth: It’s in this soup!,@tonychang3738,UCdLhIkrw4jB3CmhHI0hccaw,Great job as always.,Positive,1,0,2025-01-08 01:30:19,CA,22
UgxKw4RxTUvkwLfgTqF4AaABAg,1KrI0PMLAv8,Supreme Court upholds TikTok ban,@JannesJanette,UCFVoOOsJK-l7J8uPH0ByxEg,"TikTok was a school for all they choosen to wake up it’s to late we already on the way to the next level ELEVATION ❤🎉
CONGRATULATIONSTO ALL THE Awakenings🎉 ☀️⚖️🤸🏽‍♀️🔥",Positive,1,0,2025-01-19 12:29:08,US,25
Ugz7wkuAQ9bOoKbns2J4AaABAg_aug,u6cZYrApZaw,"The motorcycle made by the old man,an Indy-style vehicle,is very sturdy #movie #shorts #viralvideo",AugmentedUser,AugmentedCID,That kiwi accent is shockingly awful,Negative,0,0,2025-02-04 03:15:44,IE,2
Ugzl2K_nhNxNmh61dUV4AaABAg_aug,XEmy13g1Qxc,Kth Largest Element in an Array - Quick Select - Leetcode 215 - Python,AugmentedUser,AugmentedCID,Shouldn't the pivot remain unchanged? Specifically when nums[i] is less than the pivot?,Negative,0,0,2025-02-02 14:29:47,US,27
Ugy9ZW0Vc9gcxfkWcmJ4AaABAg,nBZs2_hezdY,How the LA wildfires unfolded and what’s needed for recovery | BBC News,@Raju-zj5rq,UCcuD4hYuUmTeEt21JFlC0Jg,"We from India sincerely pray for LA people.  Our prayers will not go waste.  Though we are thousands of miles away, our hearts are with the people of LA. God, please help the affected people.🙏🙏🙏🙏🙏",Positive,0,0,2025-01-18 20:35:23,PH,25
UgwzEDnteA9olMuOOAl4AaABAg,DqDpaNh4L8A,ISRAEL IS COLLAPSING | The Kyle Kulinski Show,@Michael-fw5ef,UCHPSEOQM83QrjtN_l8VutKg,We all know the USA will continue to bail out Israel.,Negative,0,0,2024-10-06 22:03:27,US,25
UgyjCtOnVPoQS9IYg994AaABAg,G2c-8rIfchQ,"Pagtaboy ng mall guard sa batang naka-uniform at pagpigtas sa dalang sampaguita, nagviral |  24 Oras",@xtianxtian1925,UCZ8iTht-GsGHf3dbLY4C6gw,"Bkt nung nag ka isyu, nawala sila bigla? Something is wrong tlga! Imbestigahan din ang background ng bata kung gusto nyo tlga sya tulungan! Maaring sindikato ito, kung hindi, abay baka abused ng magulang. Hindi ko pinagtatangol ang guard pero may kakaiba sa paglaban nya sa guard. Kailangan ng bata ng tulong!",Negative,27,6,2025-01-16 15:08:27,PH,25
UgwhwCO4fvNR_1Ct0gJ4AaABAg,k_IFUzH1odM,BUKING!!! Survey laban kay VP SARA minanipula!,@AlejandraAcabado,UCW2Hn436ArVyHdIn9C-jPMA,ALAM NA NATIN ANG MGA KALABAN O KONTRA  NI VP AY GAGAWA SILA NG  MGA PARAAN NA IKASASAMA NI VP.. .,Positive,2,0,2025-01-17 02:50:34,PH,25
Ugy8rshomFI8JLeMXql4AaABAg,GutAPj5mdZM,Stacey Abrams Brutally Rejected On Live TV For VP Spot,@christiansutton4369,UC0HW7WHfVct24rBsGP8n98w,"Joe: Bring Stacy on
Staffers: Why?
Joe: Just put her on. I wanna say hello and see how she's doing.",Neutral,608,9,2020-05-18 20:14:35,US,25
UgyL3SkXimDo14Cznzp4AaABAg,yUp2Hy0jp3I,Georgia's Secretary of State Gets REAL with Trump,@clevelandnative7175,UCOM121sXi8SBkqk96v9Oz5g,"I am so looking forward to a day, even just one f*ing day when the news does not include trumps name or his voice.",Positive,9,0,2020-11-19 16:48:38,US,25
UgyqZZH8--XGp0bGdzR4AaABAg,N2opj8XzYBY,Google Sheets - Full Course,@ReformationsGlassArt,UCfptDaplKFCJ2CQp75HKc5A,"THIS WAS GREAT - THANK YOU  - if i have a tab within a sheet - and i want someone to help me with formulas etc, can i share just the one tab or am i sharing the whole sheet ? If im sharing the whole sheet - can i somehow convert the one tab into its own sheet - share that with someone to fix my formulas and then they send it back and i can then put the tab they worked on back to the
 original spreadsheet ?",Neutral,0,0,2024-12-03 21:51:39,US,27
Ugzm69fsYv3w40TooHp4AaABAg,DlQnRXbBHQo,She took her son to work!#tvshow #viralvideo #shorts,@LilGokuVert,UCKM87uCCEwK6HsRJVQwqIdw,worst mother ever,Negative,1,0,2025-01-14 22:06:52,NZ,1
UgyCTKjNqAQ7b7qm8pJ4AaABAg_aug,eBhV74Fk8iU,The kitten ate a worm #catshorts #cat #animation,AugmentedUser,AugmentedCID,😢,Negative,0,0,2025-02-04 12:57:40,US,15
UgzZh2GJwyMU95vSk1R4AaABAg_aug,jfC_Ih_hYIA,One Mantra for today’s Digital Age | for students,AugmentedUser,AugmentedCID,Intelligence is the capacity to adapt to change -- Stephen Hawking,Neutral,0,0,2025-02-05 03:40:49,IN,27
UgyBt4sy_YaFB940mmt4AaABAg,rVzx1t5liGY,This is nothing short of amazing 🤯With @aius085,@deborasilvalucas5543,UCtKdCa3Wkvb5AQwHyL7R76Q,Muita mao,Neutral,0,0,2025-01-14 11:52:43,IE,26
UgwVEF6umG2ChMlZHH94AaABAg,c9L1Icxg4PY,What’s your thoughts? 😂🙌 #repo #automobile #skills #towtruck #tow #goat 🐐,@192kHz32Bit,UCNkupNTO-f443dw7hvUdvfw,Wie schön der Motor gollert! Und die Globalsozialisten wollen das abschaffen ...,Negative,0,0,2025-01-11 16:14:45,CA,17
Ugxgjl_rnPlSB7zilmB4AaABAg,I3QZI8Zt9N8,Still the best Xbox monitor tho 🤷‍♂️,@KadenceJohnson-ss5yl,UCVQ7d_zrBRx6JtJhph_BYDw,Bro is mad cooked,Neutral,0,0,2025-01-12 08:13:08,AU,28
UgzqdicQMVxaBis6mel4AaABAg,zJy2Tgtsn5M,Over 450 Russian troops killed in Ukraine - UK Defence Secretary,@RestoreUnderstanding,UCBKlshVr-mp3WSLn-iU1FSQ,This reporter is very misinformed,Negative,0,0,2022-03-26 09:28:17,GB,25
Ugxn3ZYyWEFV_ESOIw54AaABAg,6Aq0EGuGzhI,Amir Competes in Squid Game: S1🗿🙏,@ronaldi9473,UC2X3n9xuq_b7972J88_rz6g,Na bro with amir we will cook at squid game😂,Positive,0,0,2025-01-13 21:24:29,IE,24
Ugz7kG_dBERFlDKS6z54AaABAg_aug,Rk1X5d0xnHk,Guy changes from a Volkswagen to a bugatti #youtubeshorts #storytime,AugmentedUser,AugmentedCID,"This is so staged. You can't find parking in London, especially not outside a shop",Negative,0,0,2025-02-04 02:00:34,GB,2
Ugy9SqP5Hr5sOZScfwB4AaABAg_aug,DJ6PD_jBtU0,Full Stack Vue.js & Laravel,AugmentedUser,AugmentedCID,"How can I get the live server running? I tried ""npm run watch"", but I'm not sure how to access it via a URL.",Neutral,0,0,2025-02-05 00:03:21,US,27
UgzjYHDs_Ep1yNKkNjd4AaABAg_aug,BSz2IqjZ9Oc,Bruh moment lolol #trending #memes #meme #shorts #capcut #dog #dogs #funny #dogshorts #subscribe,AugmentedUser,AugmentedCID,That's precisely why dogs shouldn't be left unattended indoors without supervision.,Negative,0,0,2025-02-04 12:52:16,US,15
UgxM7mCTuLFcCCgqwR94AaABAg,tAuRQs_d9F8,8 Design Patterns EVERY Developer Should Know,@Nunoflashy,UCUXF5rndZ69bC_z1Z1J-F5A,"Hahah 7:30, that subtle music along with the example, and then immediately giving another example saying ""or maybe an example you're more familiar with"", implying most programmers don't... ya know. Perfect.",Positive,3,0,2024-01-21 17:48:24,US,27
UgyaZLfafVFiNaHhGJp4AaABAg,CMdsBhtPwk0,"ITO NA! PBBM, GALIT NA KAY DIGONG DUTERTE! HE IS LYING...",@pinayako3160,UCbfk_HVZttxz6ada3vfpdvQ,go go go BBM❤️,Positive,4,0,2025-01-20 10:11:23,PH,25
UgzviS6YWz1eqGVeQ7V4AaABAg,cqvvfdQXbrw,Six events in six days at the same arena 😧,@Yourfellowlibyan,UCANVOiPxCwmdJRVgDguWKAA,Sse arena Belfast,Neutral,0,0,2025-01-09 23:00:15,US,17
UgycnzHErUr-uw9NZAJ4AaABAg_aug,FsPFX8Oi2hs,Sky News Breakfast: Overnight fighting continues in Ukraine,AugmentedUser,AugmentedCID,That tank convoy has only advanced 2 miles in one day.,Neutral,0,0,2025-02-05 00:13:25,GB,25
UgyPW3gCbNYn1Ja_Drx4AaABAg,XkL3SUioNvo,#40 Python Tutorial for Beginners | Recursion,@HolyRoody,UCJbrWJSB_vP_O7PGXrMMNTg,"For me recursion is very effective and comes in handy when working with numbers. I have just received an assignment to print directories and their subdirectories by creating a function which recursively calls itself, this is not as simple as using the os.walk method, still wondering how I can make it make sense...",Neutral,0,1,2022-10-11 07:48:33,IN,27
UgxQ_FLZXgGclZL-G2x4AaABAg,IXKYY3OARkU,"Skip Bayless/Joy Taylor allegations, Angel Reese deletes IG, NFL playoff preview, more",@WickedxEg0,UC9JubQtb6ZYDIgIguQ3oEoQ,"*shannon voice* 

C’mon skip!!",Neutral,0,0,2025-01-09 02:36:14,US,25
UgyNF6m_zHhsFNCQnJJ4AaABAg,rG2JAOdOt4s,Ukraine War: Heavy weapons heading to Ukraine?,@khanniloy9361,UCB9IAz49ldmJw5Nx_npMy8Q,USA UK and NATO must provide air support  and  cause a Nuclear  War.,Negative,0,0,2022-04-26 05:38:05,GB,25
UgxbyUNxek6mPydaWHJ4AaABAg,g7ojupovmzU,I get a new fruit 🔥every time i say yes in brookhaven,@EthanLlamoso,UC6oM78ZDV40gQvgI3-4h_-Q,I just do anything I sub and like share and comment ❤❤❤🎉🎉🎉🎉,Positive,0,0,2025-01-13 09:49:37,NZ,20
UgwMFXFTSWwpbjwncMV4AaABAg,yH560UPmH9g,Diesel is not flammable,@victort.461,UCdtMNg3cQxjC7tWYIwq3CuQ,So all those movies where a guy makes a torch from a stick and mysterious liquid makes sense now😂😂,Neutral,0,0,2025-01-13 21:17:50,IE,2
UgyCgbHtg2lr-qkV6zx4AaABAg,ME1CNzcHOCY,C compile and run a C program with cmd 🏗️ (optional video),@ManjotSingh-py1pv,UCEKfHdcefOHksNls_GIOA1g,Love u broo so much u save it bro🖤,Positive,0,0,2024-04-09 01:07:02,CA,27
Ugwya-v9yjqiliLp5PR4AaABAg,__PT-asfnVM,🤣💀 #mileycyrus #music,@Mattyice6355,UC5mO5NxmU0AoG3uoKnTgk8w,How tf is this show still a thing? Who cares what tattoes that man girl has?,Negative,0,0,2025-01-13 13:38:40,AU,24
Ugxe0zUypSJiqyMLQQp4AaABAg,CgkZ7MvWUAA,React Full Course for free ⚛️ (2024),@codewithawan1,UCGZq1lThKxG35IBQRjPF5ww,"Sit back,  relax,  and enjoy the show. Love from Pakistan. Your content is absolutely amazing",Positive,9,0,2024-01-22 05:34:25,CA,27
UgxPxKn057dQvf3F4hF4AaABAg,lZAoFs75_cs,Linux for Ethical Hackers (Kali Linux Tutorial),@GameInOne,UCf4h6HC2uWSEQzFDxbGUgXw,I'm literally saving all these for a day I get a laptop or computer .I just hope it doesn't get taken down by that time,Neutral,8,2,2021-07-26 01:32:35,US,27
Ugy2AfGlSQliUtAuFv14AaABAg,g9Ntj9s61Ic,Lucky seat 😂 #baseball,@jannermonty7662,UC8mSrfbIrc-QJRg39JI6Reg,2 big reasons 😂,Positive,0,0,2025-01-13 12:17:51,AU,17
UgzDiFRnSLtQJKVvpMt4AaABAg,iJE12p9COGw,Satellite images show destruction caused by California wildfires,@Am-ti3mc,UCJJp6VUM1rTypeuZ9-nTTFg,Hope they show Gaza Palestine before and after footages for last 75 years of oppression and land invasion on Palestinians by Israel,Negative,1,0,2025-01-12 11:01:49,AU,25
Ugz-dwIzAjcccjjNf3l4AaABAg,N-TptxKhJf4,Britain’s HOMELAND SECURITY Drops Surprise BOMBSHELL On Musk,@paulwilkinson1738,UC36GiKWyOZGM4EjQAWnhN4Q,"The uk is in massive need of elon musk, hes doing and exposing what other brits have been trying for yrs",Positive,0,0,2025-01-14 17:32:53,NZ,25
UgzygZxGvTt9CeckKMx4AaABAg,3E46oWB4V0s,The psychology of seduction | Raj Persaud | TEDxUniversityofBristol,@michelefranco90,UCWO-sXO19mMLm5Y1r2Uf-hg,Brilhant ❤❤❤❤❤,Positive,0,0,2024-12-04 10:31:00,US,25
UgxvHaMu9U2IWIAjPD14AaABAg,_xNfz5LT2BU,Coronavirus: Trump suspends travel from Europe to US - BBC News,@donnaDinMiss,UCB9S-LLN7m1mQ5EYS5p-7eg,How could he help the time difference ? He was being criticized for not doing enough . I don’t know what the answer . Praying for all,Neutral,0,0,2020-03-12 15:22:12,GB,25
UgxQYq7sKEPfTrcPOtF4AaABAg,6pzoo2HXJT8,My Last Day at Google,@RahulPandeyrkp,UCJNUtbsYnt-8meFSj_yF50Q,So excited for the next phase of your journey! You have a rare skill in teaching :),Positive,62,2,2023-06-12 15:11:53,US,27
Ugx30tTNSMM-VzASxFN4AaABAg,rfIVrleuajY,Trump urges 'woke' bishop to apologize after viral tirade: 'Hard line Trump hater',@graywolf4696,UC3qUvQn0tYoC_cInn29jaKw,"WHY?! WHY, was this so called Bishop allowed to give the sermon to the President and VP. This was not a sermon, it was a political activist lecture and it was disgusting!",Negative,291,6,2025-01-22 19:33:23,CA,25
UgxZ52uP0PRgvSCHlq54AaABAg,9yrmb0bqfI4,Ukraine: Putin cancels plans to storm Mariupol steel plant | DW News,@stefeniedavidmusic,UCb0iJ-wM91iDD2mR2Ob6TPw,"Sad to say, it's much easier just to starve them out.  They did it in medieval times.  Not a new tactic and it takes time, but it always works.",Negative,31,9,2022-04-21 13:17:00,DE,25
UgywqLQTt6wQV1V2Pf14AaABAg_aug,aAtLPK6FLl4,The best airsoft edc of 2025 😬 @Mr.Bumpfire #viral #shorts #airsoft,AugmentedUser,AugmentedCID,This guy's plowing into all the pedestrians.,Negative,0,0,2025-02-04 14:44:43,US,26
Ugyu31zfVPdIy-FzgTR4AaABAg_aug,4DMaCH0YkMc,Opening & Testing 70 Year Old Fallout Shelter Water,AugmentedUser,AugmentedCID,"Seriously, couldn't you have at least wiped off the can before recording?",Negative,0,0,2025-02-04 08:50:39,NZ,26
UgxZT0TAznYwF81Kay94AaABAg,GlK3f1cs_l4,Why Trump can't buy Greenland,@sermodur,UCYv3eOXiGSfe4G86T6pv5qw,"I would bet my Granma on the probability that there are oil and or strategics mineral in Greenland untapped , cos it is the size of almost  the entire continent of Africa",Neutral,0,0,2025-01-10 20:37:55,GB,25
UgxIrjWUEa2EOof_63x4AaABAg_aug,_lJ3KNMue3w,Building a react project | bgChanger,AugmentedUser,AugmentedCID,"""Olive is chosen because the default state value is olive.""",Neutral,0,0,2025-02-05 02:38:04,IN,27
UgyPlr5RdXXKFbBLvpB4AaABAg_aug,jUPpcX4GwpY,#greysanatomy #movie #grey #edit #film #series #tvshow #doctor #movieclips,AugmentedUser,AugmentedCID,She's not sanitized before the surgery.,Negative,0,0,2025-02-04 04:04:23,NZ,1
