ID,Title,Điểm mới,Lý do đánh giá
22,clayinnn around $2TTS $3MEDIA,2,"Tiêu đề sơ sài, tập trung vào việc đặt giá ủng hộ donate."
23,Steal a brainrot giving away secrets live | Roblox !!,1.5,"Tiêu đề giật gân trào lưu 'brainrot', chất lượng thấp."
24,Blooket Live Stream 24/7 | Viewers Can Join | Compete Against Others | Study Music And More!,7,"Stream học tập tương tác qua game Blooket, có tính giáo dục và kết nối."
25,🔴STEAL A BRAINROT GIVEAWAY LIVE! | GIFTING NOW (ROBLOX),1.5,"Nội dung phát quà Roblox kiểu giật gân, dấu hiệu câu view/spam cao."
26,🔴 LIVE | Apex Legends Ranked | 🎯Diamond Grind Begins,6.5,Stream leo rank Apex Legends tiêu chuẩn của cá nhân.
27,lost in tokyo,7,"Tiêu đề tối giản, tạo cảm giác không gian IRL/âm thanh đường phố hấp dẫn."
28,"24/7 Vaporwave, Retrowave & Experimental Plunderphonics Music - 222.5 FM📼GHOSTWAVE PIRATE RADIO",7.5,Kênh radio nhạc ngách (Vaporwave/Plunderphonics) có concept phong cách rõ ràng.
29,PRAYER AGAINST UNTIMELY DEATH | I SHALL NOT DIE BUT LIVE,3.5,"Tiêu đề cầu nguyện gây tâm lý sợ hãi, mang tính giật gân."
30,💙👀❤️KP & BELEN”s 24/7 #live wild freak #cat #chat Cameras!! LIKE 👍 AND SUB PLZ,3,Lạm dụng emoji và kêu gọi Like/Sub lộn xộn trong tiêu đề.
31,PRAYER FOR MONEY BREAKTHROUGH AND FAVOUR | Spiritual Warfare Prayers,3.5,"Tiêu đề tâm linh đánh vào tâm lý tài chính, mang tính chất câu view."
32,KP & Belens 24/7 #live Feral #cat #chat camera!,6.5,"Camera trực tiếp động vật/mèo hoang, nội dung thực tế chấp nhận được."
33,Euronews English Live,8.5,"Kênh tin tức thời sự quốc tế chính thức, giá trị thông tin cao."
34,KP 🚨👀🚨🦜🦜🦜🦜 & Belem’s birdie camera!,5.5,Camera quan sát chim cảnh nhưng tiêu đề chứa quá nhiều emoji cảnh báo.
35,"9 Hello Street Cat Feeders LIVE 24/7 😸💞 Happy Canteen, Auspicious Restaurant, Lucky 7-11 II + More",7,"Hệ thống trạm feed mèo hoang trực tiếp, chủ đề nhân văn có lượng xem ổn định."
36,🔴 LIVE! 24 HOURS Marvel's Spidey and His Amazing Friends w/ NEW Pirate Adventures!⚓️ | @disneyjr,8,Luồng phát phim thiếu nhi chính thức từ Disney Jr.
37,🔴 LIVE! 24 HOURS Marvel's Spidey and His Amazing Friends w/ NEW Pirate Adventures!⚓️ | @disneyjr,8,Nội dung chính thức Disney Jr (trùng lắp với ID 36).
38,Regular Show: Full Season 6 Marathon | Every Episode Included | Cartoon Network | Live,8.5,Marathon hoạt hình bản quyền từ Cartoon Network.
39,GROW A GARDEN 2 STOCK AND TRADE 24/7 🔴 LIVE,4.5,"Stream giao dịch vật phẩm trong game, tiêu đề lặp từ khóa và viết hoa."
40,AVENGERS: DOOMSDAY CLOCK,2.5,"Tiêu đề mơ hồ, dạng đếm ngược giả lập mượn tên tuổi Avengers."
41,GROW A GARDEN STOCK AND TRADE 24/7 🔴 LIVE,4.5,"Stream trao đổi đồ trong game, nội dung lặp lại."
42,PSN / XBOX / STEAM CARD GIVEAWAY - FREE XBOX GIFT CARD CODES LIVE,1,Dấu hiệu rõ ràng của stream spam/scam tặng thẻ quà tặng giả mạo.
43,FREE ROBLOX GIFT CARD CODES GIVEAWAY / ROBUX CODES GIVEAWAY LIVE,1,Tiêu đề câu click lừa đảo Robux/Giftcard miễn phí.
44,Conductor Jack - Kids Songs and Learning is live!,7.5,"Nội dung ca nhạc và giáo dục trẻ em rõ ràng, bổ ích."
45,Yahoo Finance 24/7 Stream: Daily Market Coverage & more,8.5,Kênh tài chính chính thức cung cấp diễn biến thị trường 24/7.
46,Today's Top Hits 2026 LIVE | #1 Pop Music Radio | Best New Hits & Billboard Chart-Toppers,7.5,"Radio nhạc Pop cập nhật đúng thời điểm, cấu trúc tiêu đề chuyên nghiệp."
47,synthwave radio 🌌 beats to chill/game to,7.5,"Tiêu đề ngắn gọn, đúng chuẩn kênh nhạc Synthwave thư giãn."
48,Music Radio Mix Songs 2025 – Today's Hits & All-Time Classics | Best Spotify POP Songs,5.5,Tiêu đề radio nhạc lặp từ khóa và sử dụng mốc thời gian cũ (2025).
49,24 News Live TV | Live News Updates | Malayalam News Live | HD Live Streaming | 24 News,7.5,Kênh truyền hình tin tức địa phương chính thống.
50,Morning August 🌸 Happy songs to start your day Playlist - Live 24/7 - Radio,7,Danh sách nhạc chào buổi sáng theo tháng phù hợp thực tế.
51,"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill",8,Radio nhạc nền không lời ứng dụng cao cho học tập và làm việc.
52,Drum & Bass 24/7 Radio 🔴 Live | Non-Stop DNB,8,Nội dung nhạc Drum & Bass định hướng rõ ràng cho người hâm mộ thể loại này.
53,"🌍 IQTV 24/7 Smart TV, World Cup, Games, Art, News, Trivia, Fashion, Lo-Fi Music, Sports, Learning",3.5,Spam từ khóa quá đà trong tiêu đề (nhồi nhét từ World Cup đến Lo-Fi).
54,"Build with AI | Claude Code, OpenClaw, Cursor and more | 24/7 Live",9,Chủ đề lập trình AI cập nhật xu hướng công nghệ mới cực kỳ giá trị.
55,Building an MMORPG in Unreal Engine 5.8 with Claude Code + UnrealAI MCP | Kingdom of Sarethia -Day11,9.5,"Nội dung lập trình game UE5 thực tế, công nghệ cao, minh bạch tiến độ."
56,Vibe Coding Until I Make $100000 ARR (Earned : $6000),8,"Thử thách lập trình kiếm tiền thực tế, tiêu đề có số liệu theo dõi minh bạch."
57,"Day 21.5 - Vibe Coding an App in The Netherlands Until I Make 1,00,00,000 Rupees",7.5,"Thử thách code ứng dụng theo ngày rõ ràng, chân thực."
58,Claude FM 🎵 music for thinking and building,7.5,Kênh nhạc tập trung cho dân lập trình/sáng tạo với concept thú vị.
59,🔴 Pocket Option Live Trading | Free Signals,2,"Dạng stream kéo người chơi sàn quyền chọn nhị phân, rủi ro cao."
60,Day 52 - Vibe Coding an App Until I buy myself a house ( Earned : $0 ),7,"Thử thách code cá nhân thực tế, tiêu đề hài hước và thành thật."
61,"Plead BLOOD of JESUS for Protection Against Evil, Wash Away Sins, Healing & More",2.5,"Tiêu đề tôn giáo mang tính cực đoan, khai thác tâm lý lo âu."
62,Build AI Algo Trading Bots with Hermes AI 🚀 | Install on Hostinger VPS + Train Your Own Agent,8.5,"Nội dung kỹ thuật hướng dẫn build Bot giao dịch chi tiết, giá trị cao."
63,BUILD JOB PORTAL PROJECT WITH MERN STACK || REAL PROBLEM SOLVING & PREPARING FOR INTERVIEWS,9,Nội dung học lập trình MERN stack thực chiến phục vụ phỏng vấn rất thực tế.
64,Study With Me 📚 Pomodoro,7,"Stream cùng học phương pháp Pomodoro đơn giản, đúng mục đích."
65,LIVE | 8-HOUR study with me in Paris📚⛈️ rain sounds & pomodoro timer 60 & 10,8,"Stream học tập dài hạn, thiết lập thời gian và không gian âm thanh cụ thể."
66,Best Chill Pop Covers 2026 💕🎵 | Romantic Acoustic Songs | Trending TikTok Hits,7,"Nhạc Pop cover acoustic thư giãn, tiêu đề đầy đủ ngữ cảnh."
67,You've Done Enough Today 🎧 Relaxing Lo-fi Guitar 24/7 (No Ad Breaks) 😴 Sleep | Rest | Bedtime,8,"Tiêu đề Lofi có tính chữa lành, cam kết không quảng cáo giúp ngủ ngon."
68,24/7 acoustic/folk music 🎧,7.5,"Tiêu đề đơn giản, tập trung thẳng vào dòng nhạc Folk/Acoustic."
69,LIVE 24/7 | Bossa Nova Covers of Popular Songs 2026 | Relaxing Bossa Nova Jazz Collection,7.5,"Nhạc Bossa Nova Jazz chuyên biệt, mô tả chính xác."
70,Take It Slow Tonight 🎧 Relaxing Lo-fi Guitar 24/7 🐾 Unwind | Calm | Wind Down,7.5,Dòng nhạc Lofi Guitar thư giãn về đêm chuẩn mực.
71,Relaxing Latin Bossa Radio ~ 24/7 Guitar Jazz Instrumental for a Better Mood 🌴,7.5,"Nhạc hòa tấu Bossa Latin thư thái, chỉn chu."
72,Sweet Morning ☕ Chill morning songs to start your day Playlist - 24/7 Live Radio,7,Playlist nhạc buổi sáng phổ thông.
73,24/7 indie / pop / rock radio 🎧,7.5,"Tiêu đề ngắn gọn, định hình rõ phong cách Indie/Pop/Rock."
74,24/7 jazz / funk / soul radio 🎧,7.5,"Tiêu đề sạch sẽ, tập trung đúng thể loại Jazz/Funk/Soul."
75,24/7 alternative / rock radio 🎧,7.5,Kênh nhạc Alternative Rock rõ ràng.
76,Whiskey Blues Guitar – 24/7 Slow Blues Instrumentals for Late Nights,8,Concept nhạc Slow Blues đêm khuya rất có gu và rõ ràng.
77,Happy Birthday Song Remix 24/7 - Happy Birthday To You Song Remix,3.5,"Stream phát lặp lại bài chúc mừng sinh nhật, tính ứng dụng thấp."
78,3443 MUSIC LIVE STREAM 💓☺️ . @raaz_creation @3443LIVE,4,Tiêu đề kênh cá nhân chèn tên tài khoản MXH lộn xộn.
79,🔴Among us Live | Playing With Viewers | 500 IQ Plays (ReRun),6,Stream game Among Us phát lại (ReRun) chơi cùng viewer.
80,🔴 LIVE! Non-Stop Laughter | The Office US,8,Stream phim hài nổi tiếng The Office US.
81,『 Roblox 』cosplay jadi dokter 🫣 with @panatosgaming & Nea,6,Stream Roblox giao lưu cộng đồng cá nhân.
82,🔴 Among Us Live Stream | PLAYING WITH VIEWERS! (JOIN NOW),6.5,Stream game tương tác chơi cùng người xem cơ bản.
83,ZIKARAx is LIVE Saturday night bakchodi with friends,6,Stream trò chuyện chém gió cuối tuần của kênh cá nhân.
84,Live 🔴 | TRADING SPRITES WITH YOU + GIVEAWAYS in Fortnite,5,"Stream trao đổi vật phẩm Fortnite, tiêu đề dễ gây loãng."
85,Workout Music 2026 🔥 Best Fitness & Gym Motivation Mix by Max Oazo • Live Music Radio 24/7,7.5,Radio nhạc tập GYM/Fitness định hướng mục đích sử dụng tốt.
86,🔥Welcome To My Live Stream 2026-08-08,2,"Tiêu đề mặc định tự động hóa, hoàn toàn không có thông tin nội dung."
87,🚀Welcome To My Live Stream 2026-08-08,2,"Tiêu đề hệ thống tự tạo, không có giá trị thông tin."
88,🐱Welcome To My Live Stream 2026-08-08,2,"Tiêu đề mặc định kèm icon, sơ sài."
89,lady_nature_lover is welcome to my live stream,2.5,"Tiêu đề tự động chèn tên người dùng, chất lượng rất thấp."
90,🎁Welcome To My Live Stream 2026-08-08,2,"Tiêu đề mẫu có sẵn, không đầu tư."
91,🌟Welcome To My Live Stream 2026-08-08,2,Tiêu đề mặc định theo ngày.
92,welcome to my live stream doston,2.5,"Tiêu đề chào hỏi chung chung, thiếu thông tin luồng phát."
93,aayeshacalligraphy77@ is live as salaamu alaikum welcome to my live stream 🤲💕💫..,4.5,Stream cá nhân về thư pháp nhưng đặt tiêu đề như câu chào hỏi MXH.
94,"Welcome back to my live stream with some beautiful Bhajans and gossip,#trending#viral,08/08/26, 🙏🧿.",5,Có đề cập nội dung (Bhajans/gossip) nhưng lạm dụng hashtag rác.
95,🐾Welcome To My Live Stream 2026-08-08,2,Tiêu đề mặc định từ ứng dụng livestream.
96,welcome to my live stream,1.5,"Tiêu đề quá sơ sài, không có bất kỳ thông tin gì."
97,har har Mahadev welcome to my live stream ♥️🙏🌿🌸,4,Stream giao lưu tôn giáo/cá nhân tiêu đề đơn giản.
98,Welcome to my live stream # live,1.5,Tiêu đề mặc định kèm hashtag cơ bản.
99,Welcome To My Live Stream,1.5,Tiêu đề mặc định hoàn toàn.
100,ASMR 24/7 LIVE - Light Triggers to Make Your Eyelids Heavy,7.5,"Nội dung ASMR hỗ trợ ngủ rõ ràng, miêu tả đúng trải nghiệm kích thích ánh sáng (light triggers)."
