ID,Title,Điểm Claude,Lý do đánh giá (Claude)
21,MrBeast Subscribers Vs Messi Instagram LIVE Count,3.5,"So sánh số liệu mơ hồ, không rõ nội dung stream thực sự là gì, mang tính giật tít."
22,clayinnn around $2TTS $3MEDIA,1.5,"Tiêu đề khó hiểu, không có ngữ cảnh, giống spam hoặc ký hiệu nội bộ không rõ nghĩa."
23,Steal a brainrot giving away secrets live | Roblox !!,3.5,"Bắt trend 'brainrot' nhưng cách diễn đạt mơ hồ, thiên về câu view giật gân."
24,Blooket Live Stream 24/7 | Viewers Can Join | Compete Against Others | Study Music And More!,6.5,"Kết hợp học tập + minigame + nhạc, thông tin khá rõ ràng và đa dạng đối tượng."
25,🔴STEAL A BRAINROT GIVEAWAY LIVE! | GIFTING NOW (ROBLOX),2.5,"Viết hoa toàn bộ, từ 'GIVEAWAY'/'GIFTING' lặp lại tạo cảm giác mồi câu, rủi ro spam/lừa đảo."
26,🔴 LIVE | Apex Legends Ranked | 🎯Diamond Grind Begins,7.5,"Mục tiêu rõ ràng (leo rank Diamond), thể loại game phổ biến, dễ hiểu."
27,lost in tokyo,3,"Tiêu đề quá ngắn và mơ hồ, không cho biết nội dung stream là gì."
28,"24/7 Vaporwave, Retrowave & Experimental Plunderphonics Music - 222.5 FM📼GHOSTWAVE PIRATE RADIO",7.5,"Thể loại nhạc niche được đặt tên thương hiệu riêng (Ghostwave Pirate Radio), rõ ràng và có cá tính."
29,PRAYER AGAINST UNTIMELY DEATH | I SHALL NOT DIE BUT LIVE,5,"Nội dung tôn giáo rõ thể loại nhưng dùng nỗi sợ hãi ('untimely death') để thu hút, hơi giật gân."
30,💙👀❤️KP & BELEN”s 24/7 #live wild freak #cat #chat Cameras!! LIKE 👍 AND SUB PLZ,3,"Lạm dụng emoji và kêu gọi like/sub gây cảm giác spam, nội dung thực tế (mèo) bị lu mờ."
31,PRAYER FOR MONEY BREAKTHROUGH AND FAVOUR | Spiritual Warfare Prayers,5.5,"Rõ thể loại cầu nguyện, hướng đến nhu cầu cụ thể (tài chính), trình bày gọn."
32,KP & Belens 24/7 #live Feral #cat #chat camera!,4,"Tương tự các tiêu đề mèo khác nhưng bớt spam icon hơn, vẫn khá đơn giản."
33,Euronews English Live,8.5,"Kênh tin tức chính thống, tiêu đề ngắn gọn chuyên nghiệp, đáng tin cậy."
34,KP 🚨👀🚨🦜🦜🦜🦜 & Belem’s birdie camera!,3,"Emoji lặp lại vô nghĩa, không rõ nội dung, chủ thể ('Belem's birdie camera') gây khó hiểu."
35,"9 Hello Street Cat Feeders LIVE 24/7 😸💞 Happy Canteen, Auspicious Restaurant, Lucky 7-11 II + More",6.5,"Nội dung ngách dễ thương (cho mèo đường phố ăn), có thương hiệu địa điểm cụ thể, khá hấp dẫn."
36,🔴 LIVE! 24 HOURS Marvel's Spidey and His Amazing Friends w/ NEW Pirate Adventures!⚓️ | @disneyjr,7.5,"Nội dung trẻ em chính thức từ Disney Jr, tên chương trình rõ ràng, đáng tin."
37,🔴 LIVE! 24 HOURS Marvel's Spidey and His Amazing Friends w/ NEW Pirate Adventures!⚓️ | @disneyjr,7.5,"Trùng lặp với mục 36, vẫn giữ điểm do cùng nội dung chính thức chất lượng."
38,Regular Show: Full Season 6 Marathon | Every Episode Included | Cartoon Network | Live,7.5,"Marathon phát lại chính thức từ Cartoon Network, thông tin đầy đủ và rõ ràng."
39,GROW A GARDEN 2 STOCK AND TRADE 24/7 🔴 LIVE,5.5,"Bắt trend game phổ biến (Grow a Garden), mục đích trade rõ nhưng khá công thức."
40,AVENGERS: DOOMSDAY CLOCK,3,"Dùng tên phim Marvel nổi tiếng nhưng không rõ đây là stream gì, dễ bị hiểu là clickbait."
41,GROW A GARDEN STOCK AND TRADE 24/7 🔴 LIVE,5.5,"Tương tự mục 39, nội dung lặp lại không có gì khác biệt thêm."
42,PSN / XBOX / STEAM CARD GIVEAWAY - FREE XBOX GIFT CARD CODES LIVE,1.5,Từ khóa 'FREE GIFT CARD CODES' là dấu hiệu điển hình của nội dung lừa đảo/spam.
43,FREE ROBLOX GIFT CARD CODES GIVEAWAY / ROBUX CODES GIVEAWAY LIVE,1.5,"Lặp từ khóa liên quan quà tặng miễn phí nhiều lần, dấu hiệu rõ của spam/lừa đảo."
44,Conductor Jack - Kids Songs and Learning is live!,6.5,"Nội dung giáo dục trẻ em rõ ràng, thân thiện, dễ hiểu."
45,Yahoo Finance 24/7 Stream: Daily Market Coverage & more,8,"Thương hiệu tài chính uy tín, nội dung tin tức thị trường rõ ràng, chuyên nghiệp."
46,Today's Top Hits 2026 LIVE | #1 Pop Music Radio | Best New Hits & Billboard Chart-Toppers,6.5,"Radio nhạc pop phổ biến, tiêu đề rõ nhưng khá chung chung so với hàng nghìn kênh tương tự."
47,synthwave radio 🌌 beats to chill/game to,7.5,"Phong cách thương hiệu rõ ràng (giống mô hình Lofi Girl thành công), ngắn gọn và có cá tính."
48,Music Radio Mix Songs 2025 – Today's Hits & All-Time Classics | Best Spotify POP Songs,4.5,"Nhồi nhét từ khóa (2025, Spotify, Billboard-style) nhưng năm đã lỗi thời, gây cảm giác SEO rẻ tiền."
49,24 News Live TV | Live News Updates | Malayalam News Live | HD Live Streaming | 24 News,5.5,Lặp từ 'Live' nhiều lần để nhồi từ khóa nhưng vẫn là kênh tin tức hợp pháp có bản sắc riêng.
50,Morning August 🌸 Happy songs to start your day Playlist - Live 24/7 - Radio,7,"Miêu tả cảm xúc tích cực rõ ràng, phù hợp mục đích nghe nhạc buổi sáng."
51,"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill",7,"Thể loại nhạc phổ biến, liệt kê rõ mục đích sử dụng (học, làm việc, ngủ)."
52,Drum & Bass 24/7 Radio 🔴 Live | Non-Stop DNB,7.5,"Radio thể loại niche rõ ràng (Drum & Bass), thương hiệu đơn giản dễ nhớ."
53,"🌍 IQTV 24/7 Smart TV, World Cup, Games, Art, News, Trivia, Fashion, Lo-Fi Music, Sports, Learning",3,"Nhồi nhét quá nhiều chủ đề không liên quan (World Cup, Fashion, Learning...) khiến mất trọng tâm."
54,"Build with AI | Claude Code, OpenClaw, Cursor and more | 24/7 Live",7.5,"Nội dung công nghệ AI đang thịnh hành, liệt kê công cụ cụ thể, hấp dẫn đúng đối tượng dev."
55,Building an MMORPG in Unreal Engine 5.8 with Claude Code + UnrealAI MCP | Kingdom of Sarethia -Day11,8.5,"Thông tin rất cụ thể (công cụ, phiên bản engine, tên dự án, số ngày), tạo cảm giác một series đáng theo dõi."
56,Vibe Coding Until I Make $100000 ARR (Earned : $6000),8,"Câu chuyện có mục tiêu rõ ràng và minh bạch tiến độ (đã kiếm được bao nhiêu), tạo động lực theo dõi."
57,"Day 21.5 - Vibe Coding an App in The Netherlands Until I Make 1,00,00,000 Rupees",7.5,"Tương tự mô hình 'vibe coding' có mục tiêu, bối cảnh địa lý cụ thể tăng tính cá nhân."
58,Claude FM 🎵 music for thinking and building,7,"Thương hiệu radio làm việc/tư duy gọn gàng, đối tượng rõ ràng (lập trình viên)."
59,🔴 Pocket Option Live Trading | Free Signals,3,'Free Signals' trong giao dịch tài chính là cụm từ cảnh báo rủi ro lừa đảo/quảng cáo môi giới không rõ ràng.
60,Day 52 - Vibe Coding an App Until I buy myself a house ( Earned : $0 ),8,"Cách kể chuyện tự trào ('Earned: $0') tạo sự chân thực và hài hước, dễ gây thiện cảm."
61,"Plead BLOOD of JESUS for Protection Against Evil, Wash Away Sins, Healing & More",5.5,"Rõ thể loại nội dung tôn giáo, ngôn ngữ mạnh nhưng đúng đối tượng khán giả tìm kiếm."
62,Build AI Algo Trading Bots with Hermes AI 🚀 | Install on Hostinger VPS + Train Your Own Agent,5,Nội dung AI trading bot có thể hữu ích nhưng cũng dễ bị hiểu nhầm là quảng cáo dịch vụ tài chính rủi ro.
63,BUILD JOB PORTAL PROJECT WITH MERN STACK || REAL PROBLEM SOLVING & PREPARING FOR INTERVIEWS,7.5,"Nội dung học lập trình thực tế, có mục tiêu rõ ràng (chuẩn bị phỏng vấn), giá trị giáo dục cao."
64,Study With Me 📚 Pomodoro,6.5,"Đơn giản, đúng chuẩn thể loại 'học cùng tôi' quen thuộc và rõ ràng."
65,LIVE | 8-HOUR study with me in Paris📚⛈️ rain sounds & pomodoro timer 60 & 10,8,"Thêm chi tiết bối cảnh (Paris) và kỹ thuật pomodoro cụ thể, tạo trải nghiệm rõ ràng hơn tiêu đề chung chung."
66,Best Chill Pop Covers 2026 💕🎵 | Romantic Acoustic Songs | Trending TikTok Hits,6,"Thể loại nhạc phổ biến nhưng khá chung chung, không có điểm khác biệt riêng."
67,You've Done Enough Today 🎧 Relaxing Lo-fi Guitar 24/7 (No Ad Breaks) 😴 Sleep | Rest | Bedtime,8,"Kết hợp cảm xúc ('You've Done Enough Today') với lợi ích rõ ràng (không quảng cáo), rất thu hút."
68,24/7 acoustic/folk music 🎧,6.5,"Ngắn gọn, rõ thể loại, nhưng thiếu điểm nhấn để nổi bật giữa nhiều kênh radio tương tự."
69,LIVE 24/7 | Bossa Nova Covers of Popular Songs 2026 | Relaxing Bossa Nova Jazz Collection,7,"Radio thể loại cụ thể (Bossa Nova), tên rõ ràng dễ tìm kiếm."
70,Take It Slow Tonight 🎧 Relaxing Lo-fi Guitar 24/7 🐾 Unwind | Calm | Wind Down,7.5,"Phong cách đặt tên cảm xúc nhất quán với thương hiệu (giống mục 67), dễ nhận diện."
71,Relaxing Latin Bossa Radio ~ 24/7 Guitar Jazz Instrumental for a Better Mood 🌴,7,"Rõ thể loại và mục đích (cải thiện tâm trạng), tên đơn giản dễ nhớ."
72,Sweet Morning ☕ Chill morning songs to start your day Playlist - 24/7 Live Radio,7,"Miêu tả cảm xúc tích cực rõ ràng, tương tự phong cách mục 50."
73,24/7 indie / pop / rock radio 🎧,6.5,"Ngắn gọn, rõ ràng nhưng không có gì đặc biệt để phân biệt với đối thủ."
74,24/7 jazz / funk / soul radio 🎧,6.5,"Tương tự mục 73, đơn giản và rõ thể loại nhưng thiếu bản sắc riêng."
75,24/7 alternative / rock radio 🎧,6.5,"Tương tự các radio khác, rõ ràng nhưng chung chung."
76,Whiskey Blues Guitar – 24/7 Slow Blues Instrumentals for Late Nights,7.5,"Kết hợp thể loại nhạc + khung giờ sử dụng cụ thể (late nights), tạo cảm giác đúng ngữ cảnh."
77,Happy Birthday Song Remix 24/7 - Happy Birthday To You Song Remix,3.5,"Nội dung lặp lại vòng lặp (remix bài hát sinh nhật liên tục), giá trị thấp, ít sáng tạo."
78,3443 MUSIC LIVE STREAM 💓☺️ . @raaz_creation @3443LIVE,3,"Thiếu thông tin nội dung cụ thể, chủ yếu là tag tài khoản, không rõ nội dung chương trình."
79,🔴Among us Live | Playing With Viewers | 500 IQ Plays (ReRun),6,"Nội dung game rõ ràng, yếu tố '500 IQ' vui nhộn nhẹ nhàng nhưng đây là bản phát lại."
80,🔴 LIVE! Non-Stop Laughter | The Office US,7.5,"Nội dung phát lại series nổi tiếng, tiêu đề đơn giản và hấp dẫn đúng đối tượng fan."
81,『 Roblox 』cosplay jadi dokter 🫣 with @panatosgaming & Nea,4,"Pha trộn ngôn ngữ và tag không rõ ràng, khó hiểu với khán giả không thuộc cộng đồng cụ thể."
82,🔴 Among Us Live Stream | PLAYING WITH VIEWERS! (JOIN NOW),6,"Nội dung game phổ biến, lời kêu gọi tham gia rõ ràng dù khá cơ bản."
83,ZIKARAx is LIVE Saturday night bakchodi with friends,4,Dùng tiếng lóng địa phương ('bakchodi') khiến người ngoài cộng đồng khó hiểu nội dung.
84,Live 🔴 | TRADING SPRITES WITH YOU + GIVEAWAYS in Fortnite,6,"Nội dung trò chơi cụ thể kèm giveaway, khá rõ ràng dù không có gì đột phá."
85,Workout Music 2026 🔥 Best Fitness & Gym Motivation Mix by Max Oazo • Live Music Radio 24/7,7,"Thể loại nhạc tập luyện rõ ràng, có tên nghệ sĩ cụ thể tăng độ tin cậy."
86,🔥Welcome To My Live Stream 2026-08-08,1.5,"Không cung cấp thông tin gì về nội dung stream, chỉ có emoji và ngày tháng, cực kỳ ít nỗ lực."
87,🚀Welcome To My Live Stream 2026-08-08,1.5,"Tương tự mục 86, hoàn toàn không có thông tin về nội dung."
88,🐱Welcome To My Live Stream 2026-08-08,1.5,"Tương tự các tiêu đề 'Welcome' khác, chỉ khác icon, không có giá trị thông tin."
89,lady_nature_lover is welcome to my live stream,1.5,"Chỉ nêu tên người dùng, không mô tả nội dung stream là gì."
90,🎁Welcome To My Live Stream 2026-08-08,1.5,"Không có thông tin nội dung, chỉ lặp lại mẫu câu chào chung chung."
91,🌟Welcome To My Live Stream 2026-08-08,1.5,"Tương tự các mục 'Welcome' khác, gần như không có giá trị thông tin."
92,welcome to my live stream doston,1.5,"Không có thông tin nội dung cụ thể, chỉ là lời chào chung."
93,aayeshacalligraphy77@ is live as salaamu alaikum welcome to my live stream 🤲💕💫..,2,Có thêm lời chào tôn giáo cá nhân nhưng vẫn không mô tả nội dung stream.
94,"Welcome back to my live stream with some beautiful Bhajans and gossip,#trending#viral,08/08/26, 🙏🧿.",3.5,"Có đề cập thể loại nội dung (Bhajans - nhạc tôn giáo, gossip) nên nhỉnh hơn các tiêu đề 'Welcome' thuần túy."
95,🐾Welcome To My Live Stream 2026-08-08,1.5,"Không có thông tin nội dung, chỉ có icon và câu chào mẫu."
96,welcome to my live stream,1,"Tiêu đề tối giản nhất, hoàn toàn không có thông tin gì về nội dung."
97,har har Mahadev welcome to my live stream ♥️🙏🌿🌸,2,Lời chào tôn giáo nhưng không mô tả nội dung stream sẽ là gì.
98,Welcome to my live stream # live,1,"Gần như không có thông tin, chỉ thêm hashtag vô nghĩa."
99,Welcome To My Live Stream,1,"Tiêu đề trống rỗng thông tin, chỉ là câu chào chung chung nhất."
100,ASMR 24/7 LIVE - Light Triggers to Make Your Eyelids Heavy,7.5,"Thể loại ASMR rõ ràng, mô tả tác dụng cụ thể (giúp buồn ngủ), hấp dẫn đúng đối tượng."
